2012_rank,city,state,pop_2012,pop,change,land_area,label
90,Baton Rouge,Louisiana,230058,229493,0.2500%,76.9,0
82,Madison,Wisconsin,240323,233209,3.0500%,76.8,0
133,Overland Park,Kansas,178919,173372,3.200%,74.8,0
217,Victorville,California,120336,115903,3.8200%,73.2,0
149,Sioux Falls,South Dakota,159908,153888,3.9100%,73,0
129,Grand Prairie,Texas,181824,175396,3.6600%,72.1,0
219,Midland,Texas,119385,111147,7.4100%,72.1,0
270,Wichita Falls,Texas,104552,104553,0%,72.1,0
70,Plano,Texas,272068,259841,4.7100%,71.6,0
197,Cedar Rapids,Iowa,128119,126326,1.4200%,70.8,0
130,Newport News,Virginia,180726,180719,0%,68.7,0
97,Gilbert,Arizona,221140,208453,6.0900%,68,0
93,Irving,Texas,225427,216290,4.2200%,67,0
91,Irvine,California,229985,212375,8.2900%,66.1,0
272,Palm Bay,Florida,104124,103190,0.9100%,65.7,0
80,Chandler,Arizona,245628,236123,4.0300%,64.4,0
236,Columbia,Missouri,113225,108500,4.3500%,63.1,0
284,Davenport,Iowa,101363,99685,1.6800%,62.9,0
177,McKinney,Texas,143223,131117,9.2300%,62.2,0
164,Joliet,Illinois,148268,147433,0.5700%,62.1,0
114,Akron,Ohio,198549,199110,-0.2800%,62,0
58,St. Louis,Missouri,318172,319294,-0.3500%,61.9,0
196,Frisco,Texas,128176,116989,9.5600%,61.8,0
78,St. Petersburg,Florida,246541,244769,0.7200%,61.7,0
64,Stockton,California,297984,291707,2.1500%,61.7,0
277,Broken Arrow,Oklahoma,102019,98850,3.2100%,61.6,0
203,Gainesville,Florida,126047,124354,1.3600%,61.3,0
160,Rockford,Illinois,150843,152871,-1.3300%,61.1,0
24,Washington,District of Columbia,632323,601723,5.0900%,61,0
54,Honolulu,Hawai'i,345610,337256,2.4800%,60.5,0
198,Topeka,Kansas,127939,127473,0.3700%,60.2,0
87,Glendale,Arizona,232143,226721,2.3900%,60,0
102,Richmond,Virginia,210309,204214,2.9800%,59.8,0
193,Olathe,Kansas,130045,125872,3.3200%,59.7,0
227,Springfield,Illinois,117126,116250,0.7500%,59.5,0
98,San Bernardino,California,213295,209924,1.6100%,59.2,0
103,Spokane,Washington,209525,208916,0.2900%,59.2,0
86,Garland,Texas,233564,226876,2.9500%,57.1,0
45,Oakland,California,400740,390724,2.5600%,55.8,0
181,Dayton,Ohio,141359,141527,-0.1200%,55.7,0
